City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,colinton,55.9074,-3.2561,11.49,89,100,5.14,GB,1730420926
83,udachny,66.4167,112.4,-14.17,97,100,0.6,RU,1730420927
84,sabang,5.8933,95.3214,28.32,77,43,7.25,ID,1730420928
85,haiku-pauwela,20.9219,-156.3051,27.01,80,75,13.41,US,1730420929
86,lebu,-37.6167,-73.65,11.54,87,85,3.24,CL,1730420930
87,bodo,67.28,14.405,3.02,65,75,6.69,NO,1730420931
88,puerto rico,-26.796,-55.024,26.69,47,85,1.89,AR,1730420932
89,kushima,31.4583,131.2333,21.36,94,100,2.55,JP,1730420933
90,palikir - national government center,6.9248,158.1611,29.41,74,100,2.57,FM,1730420934
91,kingston,17.997,-76.7936,26.76,76,67,2.52,JM,1730420935
92,nykobing sjaelland,55.9249,11.6711,12.23,83,56,13.5,DK,1730420936
93,college,64.8569,-147.8028,-7.53,75,100,2.06,US,1730420883
94,richards bay,-28.783,32.0377,17.92,86,10,1.23,ZA,1730420938
95,thompson,55.7435,-97.8558,-4.91,54,75,1.54,CA,1730420940
96,koszeg,47.3892,16.541,9.71,99,100,1.2,HU,1730420941
97,uray,60.1247,64.7758,0.0,79,51,7.33,RU,1730420942
98,constantia,44.1833,28.65,11.5,70,98,2.74,RO,1730420943
99,luderitz,-26.6481,15.1594,18.24,62,8,1.77,NA,1730420944
100,iskateley,67.6803,53.1512,0.84,97,100,9.86,RU,1730420945
101,cidreira,-30.1811,-50.2056,20.78,82,11,12.87,BR,1730420946
102,puerto aysen,-45.4,-72.7,11.3,94,91,1.27,CL,1730420947
103,san onofre,9.7359,-75.5263,25.42,88,100,2.93,CO,1730420948
104,ondjiva,-17.0667,15.7333,25.02,16,48,2.57,AO,1730420949
105,the bottom,17.6259,-63.2492,25.03,79,100,8.27,BQ,1730420950
106,nishinoomote,30.7333,131.0,25.31,88,75,3.09,JP,1730420951
107,port macquarie,-31.4333,152.9167,19.48,87,65,0.45,AU,1730420952
108,eyl,7.9803,49.8164,25.77,73,24,3.73,SO,1730420953
109,luena,-11.7833,19.9167,18.37,86,100,1.0,AO,1730420954
110,nyrob,60.733,56.7202,1.41,97,100,5.09,RU,1730420955
111,lodja,-3.4833,23.4333,18.95,98,98,0.86,CD,1730420956
112,geraldton,-28.7667,114.6,23.23,73,74,6.17,AU,1730420796
113,port sudan,19.6175,37.2164,29.44,74,4,2.11,SD,1730420959
114,nantucket,41.2835,-70.0995,16.06,88,0,7.77,US,1730420960
115,port lincoln,-34.7333,135.8667,14.82,60,98,6.1,AU,1730420961
116,ola,59.5833,151.2833,-7.26,61,99,6.13,RU,1730420962
117,chonchi,-42.6128,-73.8092,12.29,86,89,1.49,CL,1730420963
118,balkanabat,39.5108,54.3671,14.01,44,18,1.06,TM,1730420964
119,jamestown,42.097,-79.2353,22.79,60,75,7.2,US,1730420965
120,stanley,54.868,-1.6985,9.01,98,75,6.17,GB,1730420966
121,novodvinsk,64.4165,40.8122,-0.14,89,99,4.34,RU,1730420967
122,margaret river,-33.95,115.0667,18.37,70,100,3.26,AU,1730420968
123,whitehorse,60.7161,-135.0538,-0.5,92,75,7.15,CA,1730420969
124,port elizabeth,-33.918,25.5701,16.16,96,0,2.57,ZA,1730420970
125,al marj,32.488,20.8317,16.85,66,29,6.21,LY,1730420971
126,shunyi,40.125,116.6453,11.97,100,0,3.0,CN,1730420972
127,sinan,34.8262,126.1086,14.74,72,100,8.54,KR,1730420973
128,ribeira grande,38.5167,-28.7,22.1,94,100,8.49,PT,1730420974
129,lompoc,34.6391,-120.4579,16.5,73,40,5.66,US,1730420829
130,ambon,-3.6954,128.1814,28.46,100,89,1.32,ID,1730420977
131,rio grande,-32.035,-52.0986,20.19,82,11,10.67,BR,1730420978
132,polyarnyy,69.1989,33.4478,-2.82,79,83,10.08,RU,1730420979
133,el granada,37.5027,-122.4694,16.91,72,0,7.72,US,1730420980
134,dossor,47.5272,52.9811,11.16,88,100,8.38,KZ,1730420981
135,touros,-5.1989,-35.4608,25.42,75,93,6.87,BR,1730420982
136,hamilton,39.1834,-84.5333,17.16,93,100,4.12,US,1730420983
137,mirny,62.5353,113.9611,-17.72,99,99,0.74,RU,1730420984
138,ushuaia,-54.8,-68.3,13.81,54,40,0.51,AR,1730420985
139,severobaykal'sk,55.65,109.3167,-3.95,78,98,1.72,RU,1730420986
140,puerto ayora,-0.7393,-90.3518,20.86,95,75,2.68,EC,1730420987
141,onguday,50.75,86.15,-0.88,89,100,1.4,RU,1730420988
142,tagaytay,14.115,120.9636,23.86,88,93,0.55,PH,1730420989
143,princeville,45.7668,-61.2985,14.06,94,20,4.12,CA,1730420990
144,north bondi,-33.8824,151.2769,22.41,62,75,4.63,AU,1730420991
145,okahandja,-21.9833,16.9167,20.68,33,0,2.89,NA,1730420993
146,colchani,-20.3,-66.9333,13.21,15,0,8.34,BO,1730420994
147,maryville,35.7565,-83.9705,22.17,57,0,2.57,US,1730420995
148,kalavad,22.2167,70.3833,26.3,37,0,2.16,IN,1730420996
149,lihue,21.9789,-159.3672,27.77,71,40,8.23,US,1730420997
150,mabaruma,8.2,-59.7833,24.55,87,54,0.61,GY,1730420998
151,dakhla,23.6848,-15.958,19.01,88,0,5.66,EH,1730420999
152,hawaiian paradise park,19.5933,-154.9731,26.73,88,100,5.66,US,1730421000
153,atherton,53.5237,-2.4935,12.16,88,100,1.34,GB,1730421001
154,isla vista,34.4133,-119.861,19.88,66,0,1.54,US,1730421002
155,peterhead,57.5058,-1.7981,14.9,74,100,11.34,GB,1730421003
156,kapuskasing,49.4169,-82.4331,1.0,93,100,4.12,CA,1730421004
157,margate,51.3813,1.3862,12.05,91,0,3.37,GB,1730421005
158,courtenay,49.6866,-124.9936,10.11,71,75,6.17,CA,1730420947
159,klyuchi,52.2667,79.1667,1.94,92,93,3.1,RU,1730421007
160,yinchuan,38.4681,106.2731,12.73,64,99,0.82,CN,1730421008
161,tura,25.5198,90.2201,23.4,74,100,1.05,IN,1730421009
162,baiyin,36.5583,104.2081,9.93,53,100,0.78,CN,1730421011
163,luwuk,-0.9516,122.7875,29.66,61,100,2.41,ID,1730421012
164,lucapa,-8.4192,20.7447,19.3,97,100,0.61,AO,1730421013
165,sennori,40.7914,8.595,16.44,71,1,2.62,IT,1730421014
166,maceio,-9.6658,-35.7353,23.69,94,40,2.06,BR,1730420917
167,ishigaki,24.3448,124.1572,29.07,84,75,11.32,JP,1730421016
168,pushkinskiye gory,57.0209,28.9103,9.11,93,100,5.42,RU,1730421017
169,la passe,45.5549,-0.8967,15.32,87,0,3.46,FR,1730421018
170,wagar,16.1525,36.2032,27.67,17,100,5.6,SD,1730421019
171,kayangel,8.0823,134.7173,28.61,76,22,5.32,PW,1730421020
172,lewistown,40.5992,-77.5714,22.67,53,0,1.54,US,1730421021
173,amahai,-3.3333,128.9167,28.5,73,76,1.06,ID,1730421022
174,fort bragg,35.139,-79.006,22.85,71,0,2.24,US,1730421023
175,beyneu,45.3167,55.2,11.35,70,91,6.35,KZ,1730421024
176,ciudad lazaro cardenas,17.9583,-102.2,26.95,80,100,2.27,MX,1730421025
177,maun,-19.9833,23.4167,25.98,53,0,6.69,BW,1730421026
178,san ignacio,17.1561,-89.0714,24.08,94,40,2.06,BZ,1730421028
179,kavaratti,10.5669,72.642,27.43,68,7,1.57,IN,1730421029
180,sinjar,36.3209,41.8754,15.98,33,0,2.03,IQ,1730421030
181,saldanha,-33.0117,17.9442,15.03,89,2,5.29,ZA,1730421031
182,boende,-0.2167,20.8667,20.75,99,91,0.23,CD,1730421032
183,mili,6.0815,171.735,28.37,68,0,0.55,MH,1730421033
184,longyearbyen,78.2186,15.6401,-10.09,85,20,2.06,SJ,1730421034
185,dudinka,69.4058,86.1778,-7.63,93,100,8.18,RU,1730421035
186,nowshahr,36.649,51.496,11.97,94,0,1.03,IR,1730421036
187,garden city,42.3256,-83.331,19.38,75,100,11.32,US,1730421037
188,la'ie,21.6477,-157.9253,28.98,73,4,4.92,US,1730421038
189,mount pearl,47.5166,-52.7813,8.51,98,100,6.17,CA,1730421039
190,wailua homesteads,22.0669,-159.378,27.44,77,40,8.23,US,1730421040
191,ketchikan,55.3422,-131.6461,9.26,81,100,0.0,US,1730421041
192,kimbe,-5.5502,150.1429,28.04,82,100,1.25,PG,1730421042
193,polovinnoye,54.7914,65.9864,-0.46,87,11,5.84,RU,1730421043
194,flying fish cove,-10.4217,105.6791,26.82,89,100,4.12,CX,1730421045
195,narasimharajapura,13.6167,75.5167,19.42,95,63,0.75,IN,1730421046
196,gwadar,25.1216,62.3254,25.61,69,0,1.5,PK,1730421047
197,minas de marcona,-15.2119,-75.1103,13.48,80,0,4.62,PE,1730421048
198,port alfred,-33.5906,26.891,16.21,90,9,0.89,ZA,1730421049
199,kongsvinger,60.1905,11.9977,12.71,63,99,6.51,NO,1730421050
200,kismayo,-0.3582,42.5454,25.37,80,9,5.21,SO,1730421051
201,papao,-17.75,-149.55,27.82,78,37,7.96,PF,1730421052
202,lowestoft,52.4752,1.7516,8.9,94,9,3.46,GB,1730421053
203,grootfontein,-19.5667,18.1167,15.76,29,3,1.54,NA,1730421054
204,ulety,51.3572,112.4849,-3.67,76,46,1.27,RU,1730421055
205,brookings,44.3114,-96.7984,3.0,60,0,2.57,US,1730421056
206,luanda,-8.8368,13.2343,25.0,83,100,2.57,AO,1730421057
207,north bend,43.4065,-124.2243,12.37,94,100,6.69,US,1730421058
208,vilyuchinsk,52.9306,158.4028,2.15,58,10,4.06,RU,1730421059
209,santyoku,37.4406,129.1708,16.77,53,100,0.29,KR,1730421060
210,morozovsk,48.3539,41.8261,4.11,86,35,3.1,RU,1730421062
211,saguenay,48.4168,-71.0657,6.46,95,100,4.12,CA,1730421063
212,tshabong,-26.05,22.45,19.51,17,3,3.96,BW,1730421064
213,uturoa,-16.7333,-151.4333,25.36,62,0,5.95,PF,1730421065
214,muang xay,20.7,101.9833,24.1,68,8,0.26,LA,1730421066
215,kerikeri,-35.2268,173.9474,21.1,44,0,3.32,NZ,1730421054
216,molde,62.7375,7.1591,3.91,100,75,2.06,NO,1730421068
217,qamdo,31.1667,97.2333,2.19,69,100,2.06,CN,1730421069
218,badger,64.8,-147.5333,-7.58,76,100,2.06,US,1730421070
219,hasaki,35.7333,140.8333,22.42,63,100,5.93,JP,1730421071
220,papatowai,-46.5619,169.4708,7.99,92,100,1.18,NZ,1730421073
221,tolanaro,-25.0319,46.9987,22.04,88,20,2.06,MG,1730421074
222,ashburton,-37.8626,145.0794,15.2,47,100,1.34,AU,1730421075
223,ormara,25.2088,64.6357,26.48,71,0,3.22,PK,1730421076
224,hermanus,-34.4187,19.2345,16.0,93,6,4.34,ZA,1730421077
225,tsiombe,-25.3,45.4833,21.28,92,46,2.12,MG,1730421078
226,mao,39.8885,4.2658,21.31,88,75,3.09,ES,1730421079
227,priob'ye,62.5206,65.5964,0.88,77,100,8.61,RU,1730421080
228,swakopmund,-22.6833,14.5333,14.99,83,2,2.24,NA,1730421081
229,saint-pierre,-21.3393,55.4781,21.82,64,0,3.09,RE,1730421082
230,yuzhno-kurilsk,44.0306,145.8556,12.54,62,24,2.7,RU,1730421083
231,leninsk,48.7119,45.1994,5.61,75,99,3.61,RU,1730421084
232,altagracia de orituco,9.8601,-66.3814,24.45,77,44,1.86,VE,1730421085
233,pisco,-13.7,-76.2167,18.03,82,0,6.17,PE,1730421086
234,ojinaga,29.5667,-104.4167,26.53,17,0,4.12,MX,1730421088
235,suva,-18.1416,178.4415,27.71,78,75,4.63,FJ,1730421089
236,khovd,48.0056,91.6419,-2.71,40,100,2.79,MN,1730421090
237,georgetown,5.4112,100.3354,26.96,88,40,1.03,MY,1730421091
238,north platte,41.1239,-100.7654,9.65,59,0,2.68,US,1730421092
239,dokuchayevs'k,47.7477,37.6738,6.17,79,100,2.7,UA,1730421093
240,churachandpur,24.3333,93.6667,15.67,96,77,0.45,IN,1730421094
241,charcas,23.1333,-101.1167,19.15,51,32,4.62,MX,1730421095
242,atafu village,-8.5421,-172.5159,28.0,67,98,2.53,TK,1730421096
243,voznesenskoye,54.89,42.7569,-0.88,85,62,3.72,RU,1730421098
244,sinop,41.7711,34.8709,7.72,80,60,2.05,TR,1730421099
245,gadzhiyevo,69.2551,33.3362,-2.76,80,91,10.38,RU,1730420920
246,antonio enes,-16.2325,39.9086,24.3,92,100,1.58,MZ,1730421101
247,trairi,-3.2778,-39.2689,24.87,80,47,3.94,BR,1730421102
248,den burg,53.0542,4.7972,13.99,82,100,5.66,NL,1730421103
249,tazacorte,28.629,-17.9293,18.54,59,0,3.6,ES,1730421104
250,aneho,6.2333,1.6,26.15,86,6,3.23,TG,1730421105
251,goba,7.0167,39.9833,11.28,96,100,0.78,ET,1730421106
252,el kef,36.1742,8.7049,18.19,72,5,2.27,TN,1730421107
253,wynyard,-41.0,145.7167,15.1,57,6,2.24,AU,1730421108
254,lincoln city,44.9582,-124.0179,12.05,97,98,4.47,US,1730420865
255,svetlyy,54.675,20.1347,12.79,81,100,11.95,RU,1730421110
256,igarka,67.4667,86.5833,-8.85,95,100,6.94,RU,1730421111
257,urmary,55.6789,47.944,-0.37,79,98,6.7,RU,1730421112
258,inarajan village,13.2736,144.7484,28.77,89,100,7.66,GU,1730421113
259,tembisa,-25.9964,28.2268,16.51,79,0,4.63,ZA,1730421114
260,juan de acosta,10.8281,-75.0334,26.77,87,100,3.48,CO,1730421116
261,chokwe,-24.5333,32.9833,19.08,86,0,1.73,MZ,1730421117
262,susuman,62.7833,148.1667,-20.42,96,97,1.18,RU,1730421118
263,coahuayana de hidalgo,18.7,-103.6583,25.62,89,97,1.03,MX,1730421119
264,san julian,21.0167,-102.1667,17.06,39,3,3.03,MX,1730421120
265,yelizovo,53.1873,158.3805,2.08,41,0,8.0,RU,1730421121
266,rahachow,53.0934,30.0495,8.32,85,100,7.76,BY,1730421122
267,es castell,39.8795,4.2854,21.38,88,75,3.09,ES,1730421123
268,burewala,30.1667,72.65,23.07,31,0,1.19,PK,1730421124
269,vadso,70.0744,29.7487,-0.91,86,0,8.75,NO,1730421125
270,loei,17.4167,101.5,16.65,77,58,0.4,TH,1730421126
271,san antonio de pale,-1.4014,5.6325,25.1,83,84,4.08,GQ,1730421127
272,luoyang,34.6836,112.4536,14.35,68,100,1.85,CN,1730421128
273,corinto,37.9407,22.9573,14.94,56,0,2.47,GR,1730421129
274,libres,19.4667,-97.6833,14.29,84,30,3.13,MX,1730421130
275,utrik,11.2278,169.8474,28.34,77,100,4.42,MH,1730421131
276,san angelo,31.4638,-100.437,21.12,40,0,2.68,US,1730421133
277,buala,-8.145,159.5921,28.78,76,93,1.76,SB,1730421134
278,holualoa,19.6228,-155.9522,27.53,75,75,3.6,US,1730421135
279,turpan,42.9333,89.1667,10.83,51,31,0.61,CN,1730421136
280,saipan,15.1355,145.701,31.39,74,40,9.26,MP,1730421137
281,suncho corral,-27.9336,-63.4294,21.2,88,99,4.42,AR,1730421138
282,carauari,-4.8828,-66.8958,30.22,52,100,0.07,BR,1730421139
283,diu,20.7141,70.9822,26.38,47,0,3.27,IN,1730421140
284,hadibu,12.65,54.0333,25.05,76,0,2.6,YE,1730421141
285,morehead city,34.7229,-76.726,22.25,83,75,2.06,US,1730421142
286,arawa,-6.2132,155.5367,29.77,74,100,1.64,PG,1730421143
287,belawan,3.7755,98.6832,28.43,27,100,1.15,ID,1730421144
288,colonia,50.9333,6.95,8.87,93,0,1.03,DE,1730421145
289,shimoda,34.6667,138.95,22.78,66,100,3.28,JP,1730421146
290,thabazimbi,-24.5917,27.4116,18.27,64,0,3.38,ZA,1730421148
291,mrakovo,52.7161,56.6244,2.14,96,100,5.54,RU,1730421149
292,'ain el hadjar,34.7585,0.1453,13.61,41,0,1.77,DZ,1730421150
293,magistral'nyy,56.1725,107.4458,-2.35,79,100,1.25,RU,1730421151
294,nova vicosa,-17.8919,-39.3719,23.1,88,100,2.05,BR,1730421152
295,leirvik,59.7798,5.5005,12.57,84,100,9.45,NO,1730421153
296,rongelap,11.1635,166.8941,28.31,78,57,4.7,MH,1730421154
297,kembe,4.6228,21.8865,21.01,98,98,0.88,CF,1730421155
298,enewetak,11.3474,162.3373,28.66,77,37,6.64,MH,1730421156
299,lamu,-2.2717,40.902,25.29,85,41,5.76,KE,1730420913
300,bukama,-9.2,25.85,21.58,96,100,1.02,CD,1730421158
301,parham,17.0968,-61.7705,26.13,77,75,1.54,AG,1730421159
302,yangambi,0.8102,24.4336,20.44,99,100,1.08,CD,1730421160
303,howrah,22.5892,88.3103,27.0,89,40,1.54,IN,1730421161
304,uttar char fasson,22.2332,90.7132,26.19,81,83,2.71,BD,1730421162
305,mhamid,29.82,-5.72,18.59,30,0,1.49,MA,1730421164
306,tangalle,6.024,80.7911,25.39,89,100,2.28,LK,1730421165
307,mount isa,-20.7333,139.5,28.87,51,0,4.63,AU,1730421007
308,chui,-33.6971,-53.4616,18.93,84,100,6.58,UY,1730421167
309,camapua,-19.5314,-54.0439,24.3,61,18,1.41,BR,1730421168
310,ataq,14.5377,46.8319,19.34,55,4,3.59,YE,1730421169
311,muroto-misakicho,33.2833,134.15,24.14,78,100,6.34,JP,1730421170
312,alva,56.1528,-3.8051,9.85,95,100,5.09,GB,1730421171
313,newman,37.3138,-121.0208,17.8,46,73,3.13,US,1730421172
314,maturin,9.75,-63.1767,28.91,79,1,2.06,VE,1730421173
315,solleftea,63.1667,17.2667,-0.08,97,100,2.01,SE,1730421174
316,lorengau,-2.0226,147.2712,28.38,77,93,1.43,PG,1730421175
317,naqadeh,36.9553,45.388,8.8,42,5,0.5,IR,1730421176
318,alice springs,-23.7,133.8833,32.75,10,67,7.72,AU,1730420904
319,bariri,-22.0744,-48.7403,21.82,69,72,5.78,BR,1730421179
320,chabahar,25.2919,60.643,26.94,68,0,1.62,IR,1730421180
321,sterlibashevo,53.4376,55.2578,1.51,83,100,8.44,RU,1730421181
322,vila velha,-20.3297,-40.2925,22.75,92,75,1.54,BR,1730421182
323,sialkot,32.5101,74.5431,17.72,83,0,0.0,PK,1730421183
324,two rivers,44.1539,-87.5693,8.07,74,100,9.26,US,1730421184
325,aginskoye,51.1,114.53,-2.12,65,1,2.15,RU,1730421185
326,puerto baquerizo moreno,-0.9,-89.6,20.58,82,100,6.15,EC,1730421186
327,labytnangi,66.6572,66.4183,-0.48,93,100,7.81,RU,1730421187
328,sebastopol,44.6,33.5333,13.33,56,100,2.71,UA,1730421188
329,lagoa,39.05,-27.9833,20.3,89,100,12.87,PT,1730421189
330,galesong,-5.3166,119.3661,29.63,65,32,1.53,ID,1730421190
331,balao,-2.9167,-79.8167,21.67,85,87,3.72,EC,1730421191
332,bardai,11.65,7.2333,19.4,25,57,3.39,NG,1730421192
333,fortuna,40.5982,-124.1573,14.4,84,100,3.09,US,1730421193
334,panadura,6.7132,79.9026,26.13,84,100,0.47,LK,1730421194
335,mirnyy,62.5353,113.9611,-17.32,98,96,0.69,RU,1730421196
336,ndofane,13.9167,-15.9333,26.18,72,87,3.33,SN,1730421197
337,makoua,0.0069,15.6333,21.64,95,100,0.48,CG,1730421198
338,saudarkrokur,65.7461,-19.6394,-8.87,93,8,6.05,IS,1730421199
339,twon-brass,4.3151,6.2418,26.49,84,76,3.78,NG,1730421200
340,st. paul,44.9444,-93.0933,3.14,93,100,4.63,US,1730421040
341,nieuw amsterdam,5.8833,-55.0833,25.91,86,7,4.24,SR,1730421202
342,karratha,-20.7377,116.8463,36.17,20,0,6.66,AU,1730421186
343,el nido,11.1858,119.3956,28.97,82,100,0.89,PH,1730421204
344,yerofey pavlovich,53.9667,121.9667,-2.68,86,96,0.93,RU,1730421205
345,wellington,-41.2866,174.7756,17.81,75,75,11.32,NZ,1730421142
346,east london,-33.0153,27.9116,16.45,84,65,5.0,ZA,1730421207
347,coquimbo,-29.9533,-71.3436,14.85,81,75,2.57,CL,1730421208
348,remire-montjoly,4.9167,-52.2667,27.02,83,0,2.57,GF,1730420928
349,mountain home,43.133,-115.6912,8.71,54,40,2.57,US,1730421210
350,grand falls-windsor,48.9332,-55.6649,9.72,92,100,3.0,CA,1730421211
351,banda aceh,5.5577,95.3222,27.78,71,60,4.72,ID,1730421212
352,igbo-ora,7.4333,3.2833,24.1,88,5,1.08,NG,1730421214
353,mitu,1.1983,-70.1733,25.12,78,39,0.92,CO,1730421215
354,kodiak,57.79,-152.4072,3.73,87,100,6.69,US,1730421216
355,happy valley-goose bay,53.3168,-60.3315,1.17,75,40,3.6,CA,1730421217
356,anloga,5.7947,0.8973,26.62,84,14,3.4,GH,1730421218
357,gevgelija,41.1392,22.5025,13.65,68,0,3.06,MK,1730421219
358,weno,7.4515,151.8468,28.97,84,100,3.6,FM,1730421220
359,sitka,57.0531,-135.33,8.94,76,100,0.0,US,1730421137
360,crest,44.7284,5.0272,11.9,86,0,1.08,FR,1730421222
361,el fasher,13.6279,25.3494,23.39,20,100,2.99,SD,1730421223
362,bamboo flat,11.7,92.7167,25.05,100,68,0.0,IN,1730421224
363,tralee,52.2704,-9.7026,12.11,79,100,1.43,IE,1730421225
364,malpe,13.35,74.7167,24.27,92,72,1.64,IN,1730421226
365,bac lieu,9.285,105.7244,28.21,80,100,4.14,VN,1730421227
366,am timan,11.0297,20.2827,23.46,30,98,1.57,TD,1730421228
367,balotra,25.8333,72.2333,26.04,32,0,1.85,IN,1730421229
